aic94xx-firmware 30-10
alacritty 0.13.1-1
alsa-firmware 1.2.4-3
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.11-1
amfora 1.9.2-4
arandr 0.1.11-2
aria2 1.37.0-1
asciinema 2.4.0-1
aura-bin 3.2.9-1
autorandr 1.14-1
autotiling 1.9-1
aws-cli 1.32.34-1
babashka-bin 1.3.188-1
base 3-2
base-devel 1-1
bat 0.24.0-1
bind 9.18.21-1
brave-bin 1:1.62.162-1
brightnessctl 0.5.1-2
btop 1.3.0-4
cava 0.10.1-1
cava-debug 0.10.1-1
clang 16.0.6-2
cmake 3.28.3-1
cmatrix 2.0-2
cuda 12.3.1-2
dbeaver 23.3.4-1
dbus-broker 35-2
dbus-broker-units 35-2
ddgr 2.2-1
dhcpcd 10.0.6-1
direnv 2.33.0-1
docker 1:25.0.2-1
docker-buildx 0.12.1-1
docker-compose 2.24.5-1
doctl 1.104.0-1
dracula-gtk-theme v4.0.0-1
duf 0.8.1-2
dunst 1.9.2-1
dust 0.9.0-1
easyeffects 7.1.4-1
efibootmgr 18-2
efl 1.27.0-2
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
emacs 29.2-1
envycontrol 3.3.1-1
eza 0.18.2-1
fasm 1.73.32-1
fastfetch 2.7.1-1
fd 9.0.0-1
feh 3.10.2-1
flatpak 1:1.15.6-2
fprintd 1.94.2-2
fuse2 2.9.9-4
fwup v1.9.1.r0.g91fbf8c-1
fwupd 1.9.13-1
fzf 0.46.1-1
gdb 14.1-1
gimp 2.10.36-4
git 2.43.0-1
git-delta 0.16.5-1
git-lfs 3.4.1-1
github-cli 2.43.1-1
glfw-x11 3.3.9-1
glow 1.5.1-1
gmic 3.3.3-1
gnu-netcat 0.7.1-9
gperf 3.1-5
gping 1.16.0-1
grub 2:2.12-1
gst-libav 1.22.9-2
gst-plugins-good 1.22.9-2
gstreamer 1.22.9-2
htop 3.3.0-1
hyperfine 1.18.0-2
i3-wm 4.23-1
i3lock 2.14.1-1
intel-media-driver 24.1.3-1
ipcalc 0.51-1
irssi 1.4.5-1
iwd 2.13-4
jdk-openjdk 21.0.2.u13-3
jq 1.7.1-1
less 1:643-1
lf 31-1
libappindicator-gtk3 12.10.0.r298-3
libnotify 0.8.3-1
libreoffice-fresh 24.2.0-1
lightdm 1:1.32.0-5
lightdm-gtk-greeter 1:2.0.8-3
linux 6.7.4.arch1-1
linux-firmware 20240115.9b6d0b08-2
linux-firmware-qlogic 20240115.9b6d0b08-2
linux-headers 6.7.4.arch1-1
lsof 4.99.0-1
lxappearance 0.6.3-4
maim 5.7.4-7
man-db 2.12.0-1
mariadb-clients 11.2.2-1
mesa-utils 9.0.0-3
mesa-vdpau 1:23.3.5-1
minicom 2.9-1
mosh 1.4.0-6
mpv 1:0.37.0-2
nasm 2.16.01-1
ncdu 2.3-1
nemo 6.0.2-1
neovide 0.12.2-1
neovim 0.9.5-2
nerd-fonts-cozette-ttf 1.19.2_3.0.0-1
net-tools 2.10-2
newsboat 2.34-1
ngrok 3.6.0-1
nmap 7.94-2
noto-fonts 1:24.2.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 1:2.042-1
nvidia 545.29.06-18
nvidia-settings 545.29.06-1
nvtop 3.0.2-1
obs-studio 30.0.2-3
openblas 0.3.26-3
opencl-nvidia 545.29.06-3
openresolv 3.13.2-2
openssh 9.6p1-1
openssh-askpass 2.1.0-4
openssl-1.1 1.1.1.w-1
opentabletdriver 0.6.4.0-2
openttd 13.4-2
openvpn 2.6.8-1
p7zip 1:17.05-2
pandoc-bin 3.1.11.1-1
parallel 20240122-1
pavucontrol 1:5.0+r64+geba9ca6-1
picom 11.1-1
pipewire-alsa 1:1.0.3-1
pipewire-media-session 1:0.4.2-2
pipewire-pulse 1:1.0.3-1
pipewire-v4l2 1:1.0.3-1
playerctl 2.4.1-3
pngquant 3.0.3-2
polkit-qt6 0.175.0-1
polybar 3.7.1-1
postgresql-libs 16.1-5
procs 0.14.4-1
python-pyserial 3.5-5
qflipper 1.3.3-1
raylib 5.0-1
reflector 2023-1
restic 0.16.4-1
ripgrep 14.1.0-1
rofi 1.7.5-2
rsync 3.2.7-6
sdl2_image 2.8.2-2
sdl2_ttf 2.22.0-1
slack-desktop 4.36.140-1
slack-desktop-debug 4.36.140-1
smassh 3.0.4-1
