aic94xx-firmware 30-10
alacritty 0.13.2-2
alsa-firmware 1.2.4-3
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.11-1
amfora 1.10.0-2
arandr 0.1.11-3
aria2 1.37.0-1
aura-bin 3.2.9-1
autorandr 1.15-1
autotiling 1.9.2-2
aws-cli 1.32.34-3
babashka-bin 1.3.190-1
babashka-bin-debug 1.3.190-1
base 3-2
base-devel 1-1
bat 0.24.0-1
beanstalkd 1.13-1
beanstalkd-debug 1.13-1
bind 9.18.26-1
brave-bin 1:1.65.123-1
brightnessctl 0.5.1-2
btop 1.3.2-1
cava 0.10.1-1
cava-debug 0.10.1-1
clang 17.0.6-2
cmake 3.29.2-1
cmatrix 2.0-3
cuda 12.4.1-1
darktable 2:4.6.1-2
dbeaver 24.0.3-1
dbus-broker 36-2
dbus-broker-units 36-2
ddgr 2.2-1
dhcpcd 10.0.6-1
dialog 1:1.3_20240307-2
direnv 2.34.0-1
docker 1:26.1.0-1
docker-buildx 0.14.0-1
docker-compose 2.27.0-1
doctl 1.105.0-1
dracula-gtk-theme v4.0.0-1
duf 0.8.1-2
dunst 1.11.0-1
dust 1.0.0-3
easyeffects 7.1.6-1
ed 1.20.1-1
efibootmgr 18-3
efl 1.27.0-2
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
emacs 29.3-3
envycontrol 3.4.0-1
exfatprogs 1.2.2-1
eza 0.18.13-1
fasm 1.73.32-1
fastfetch 2.10.2-1
fd 9.0.0-2
feh 3.10.2-1
flatpak 1:1.15.8-1
floorp-bin 11.12.2-1
floorp-bin-debug 11.10.5-1
fprintd 1.94.3-1
fuse2 2.9.9-4
fwup v1.9.1.r0.g91fbf8c-1
fwupd 1.9.18-2
fzf 0.48.1-1
gdb 14.2-2
gimp 2.10.36-6
git 2.44.0-1
git-delta 0.17.0-2
git-lfs 3.5.1-1
github-cli 2.48.0-2
glfw 3.4-2
glow 1.5.1-1
gmic 3.3.5-1
gnu-netcat 0.7.1-9
goread-bin 1.6.4-1
goread-bin-debug 1.6.4-1
gperf 3.1-5
gping 1.16.1-1
grub 2:2.12-2
gst-libav 1.24.2-2
gst-plugins-good 1.24.2-2
gstreamer 1.24.2-2
hexyl 0.14.0-1
htop 3.3.0-1
hyperfine 1.18.0-2
i3-wm 4.23-3
i3lock 2.15-1
intel-media-driver 24.2.1-1
ipcalc 0.51-1
irssi 1.4.5-2
iwd 2.17-2
jaq 1.3.0-1
jdk-openjdk 22.0.1.u0-1
jellyfin-media-player 1.9.1-4
jellyfin-media-player-debug 1.9.1-4
jq 1.7.1-1
just 1.25.2-1
keybase 6.0.2-4
keybase-gui 6.0.2-4
