abseil-cpp 20230125.3-2
accountsservice 23.13.9-1
acl 2.3.1-3
acpi_call-dkms 1.2.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.2-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
aom 3.7.0-1
apr 1.7.3-1
apr-util 1.6.3-1
aqbanking 6.5.4-1
arandr 0.1.11-2
archlinux-keyring 20230821-2
argon2 20190702-5
asciinema 2.3.0-1
at-spi2-core 2.48.4-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
aura-bin 3.2.9-1
autoconf 2.71-4
automake 1.16.5-2
autotiling 1.8-3
avahi 1:0.8+r22+gfd482a7-1
aws-cli 1.29.25-1
axel 2.17.11-2
babl 0.1.106-1
base 3-1
bash 5.1.016-4
bat 0.23.0-3
bbswitch-dkms 0.8-620
bc 1.07.1-4
binutils 2.41-3
blas 3.11.0-2
boost 1.83.0-2
boost-libs 1.83.0-2
bottom 0.9.6-1
box2d 2.4.1-1
brave-bin 1:1.57.53-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-12
btop 1.2.13-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.92-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
calcurse 4.8.1-1
cameractrls 0.5.10-1
cantarell-fonts 1:0.303.1-1
catppuccin-gtk-theme-macchiato 0.6.1-2
cava 0.9.0-2
cblas 3.11.0-2
cdparanoia 10.2-8
chafa 1.12.4-3
chromaprint 1.5.1-7
cinnamon-desktop 5.8.0-1
clamav 1.2.0-1
clang 16.0.6-1
clisp 2.49.93-7
clucene 2.3.3.4-14
cmake 3.27.4-1
compiler-rt 16.0.6-2
containerd 1.7.5-1
coreutils 9.3-1
cppdap 1.58.0-1
cracklib 2.9.11-1
cronie 1.6.1-1
crosstool-ng 1.25.0-2
cryptsetup 2.6.1-3
curl 8.2.1-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbeaver 23.1.5-1
dbus 1.14.8-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 1.4.1-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
devour 12-2
dex 0.9.0-1
dhcpcd 10.0.2-1
diffutils 3.10-1
direnv 2.32.3-1
discord 0.0.29-1
dkms 3.0.11-1
dnssec-anchors 20190629-3
docker 1:24.0.5-1
docker-buildx 0.11.2-1
docker-compose 2.20.3-1
doctl 1.98.1-1
dosfstools 4.2-3
double-conversion 3.3.0-1
dracula-gtk-theme v4.0.0-1
duf 0.8.1-2
duktape 2.7.0-6
dunst 1.9.2-1
dust 0.8.6-1
dysk 2.8.0-1
e2fsprogs 1.47.0-1
easyeffects 7.0.8-1
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.12-1
eglexternalplatform 1.1-2
electron 1:25-1
electron17 17.4.11-6
electron22 22.3.22-1
electron25 25.6.0-1
ell 0.58-1
emacs 29.1-4
enchant 2.5.0-1
exa 0.10.1-8
exempi 2.6.4-1
exiv2 0.28.0-3
expat 2.5.0-1
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.1-1
fastfetch 2.0.5-1
fd 8.7.0-1
feh 3.10-1
ffcall 2.4-2
ffmpeg 2:6.0-8
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.45-1
filesystem 2023.01.31-1
filezilla 3.65.0-1
findutils 4.9.0-3
firefox 117.0-1
flac 1.4.3-1
flashfocus-git v2.3.1.r0.gaa710b9-1
flex 2.6.4-5
fltk 1.3.8-2
fluidsynth 2.3.3-1
fmt 10.1.0-1
font-manager 0.8.8-1
fontconfig 2:2.14.2-1
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fzf 0.42.0-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-fortran 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.46-2
geoip 1.6.12-2
geoip-database 20230901-1
gettext 0.22-1
ghostscript 10.01.2-1
giflib 5.2.1-2
gimp 2.10.34-3
girara 0.4.0-1
git 2.42.0-1
git-delta 0.16.5-1
git-lfs 3.3.0-1
github-cli 2.33.0-1
glab 1.32.0-1
glew 2.2.0-6
glib-networking 1:2.76.1-1
glib2 2.76.5-1
glibc 2.38-3
glibmm 2.66.6-1
glow 1.5.1-1
glslang 12.3.1-2
glu 9.0.3-1
gmime3 3.2.13-2
gmp 6.3.0-1
gnome-keyring 1:42.1-3
gnu-apl 1.8-3
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-9
gnucash 5.3-2
gnupg 2.2.41-2
gnuplot 5.4.8-1
gnutls 3.8.1-1
gobject-introspection-runtime 1.76.1-3
gperf 3.1-5
gperftools 2.12-1
gpgme 1.22.0-1
gping 1.14.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphicsmagick 1.3.41-3
graphite 1:1.3.14-3
graphviz 8.1.0-2
grep 3.11-1
groff 1.23.0-3
grub 2:2.12rc1-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gssdp 1.6.2-1
gst-libav 1.22.5-2
gst-plugins-bad 1.22.5-2
gst-plugins-bad-libs 1.22.5-2
gst-plugins-base 1.22.5-2
gst-plugins-base-libs 1.22.5-2
gstreamer 1.22.5-2
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.12.1-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.12.1-1
gtkmm3 3.24.8-1
gtop 1.1.5-1
gts 0.7.6.121130-2
guile 3.0.9-1
gulp 4.0.2-3
gumbo-parser 0.10.1-2
gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gvfs 1.50.6-1
gwenhywfar 5.10.2-1
gzip 1.13-2
harfbuzz 8.1.1-1
harfbuzz-icu 8.1.1-1
hdparm 9.65-1
help2man 1.49.3-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
htop 3.2.2-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.373-1
hwloc 2.9.1-1
hyperfine 1.17.0-1
hyphen 2.8.8-5
i2c-tools 4.3-4
i3-wm 4.22-4
iana-etc 20230803-1
icu 73.2-2
ijs 0.35-5
imagemagick 7.1.1.15-3
imath 3.1.9-2
imlib2 1.12.0-1
iniparser 4.1-4
inotify-tools 3.22.6.0-2
intel-ucode 20230808-1
ipcalc 0.51-1
iproute2 6.4.0-1
iptables 1:1.8.9-1
iputils 20221126-2
irssi 1.4.4-3
iso-codes 4.15.0-1
iw 5.19-2
iwd 2.8-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
java-runtime-common 3-5
jbig2dec 0.19-1
jemalloc 1:5.3.0-2
jq 1.6-4
jre-openjdk 20.0.2.u9-3
jre-openjdk-headless 20.0.2.u9-3
json-c 0.17-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
karchive 5.109.0-1
kauth 5.109.0-1
kbd 2.6.2-1
kbfs 6.0.2-3
kcodecs 5.109.0-1
kconfig 5.109.0-1
kconfigwidgets 5.109.0-1
kcoreaddons 5.109.0-1
kdbusaddons 5.109.0-1
keybase 6.0.2-3
keybase-gui 6.0.2-3
keyutils 1.6.3-2
kguiaddons 5.109.0-1
ki18n 5.109.0-1
kiconthemes 5.109.0-1
kmod 30-3
knotifications 5.109.0-1
krb5 1.20.1-1
kservice 5.109.0-1
kwallet 5.109.0-1
kwidgetsaddons 5.109.0-1
kwindowsystem 5.109.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-3
ladspa 1.17-4
lame 3.100-4
lapack 3.11.0-2
lcms2 2.15-1
ldns 1.8.3-2
ledger 3.3.2-4
lensfun 1:0.3.4-3
less 1:643-1
lf 30-1
lib32-alsa-lib 1.2.9-1
lib32-alsa-plugins 1.2.7.1-2
lib32-brotli 1.0.9-12
lib32-bzip2 1.0.8-3
lib32-curl 8.2.1-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-gcc-libs 13.2.1-3
lib32-glibc 2.38-3
lib32-icu 73.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libdrm 2.4.116-1
lib32-libelf 0.189-1
lib32-libffi 3.4.4-1
lib32-libglvnd 1.6.0-1
lib32-libgpg-error 1.47-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.6-1
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-1
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libva-mesa-driver 1:23.1.6-4
lib32-libvdpau 1.5-2
lib32-libx11 1.8.6-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
lib32-libxcrypt 4.4.36-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxml2 2.11.5-1
lib32-libxshmfence 1.3.2-1
lib32-libxss 1.2.3-3
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 16.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 1:23.1.6-4
lib32-ncurses 6.4_20230520-1
lib32-nspr 4.35-1
lib32-nss 3.92-1
lib32-nvidia-utils 535.104.05-1
lib32-openssl 1:3.1.2-1
lib32-p11-kit 0.25.0-1
lib32-sqlite 3.43.0-1
lib32-vulkan-icd-loader 1.3.255-1
lib32-wayland 1.22.0-1
lib32-xz 5.4.4-1
lib32-zlib 1.3-1
lib32-zstd 1.5.5-1
libabw 0.1.3-3
libadwaita 1:1.3.5-1
libappindicator-gtk3 12.10.0.r298-2
libarchive 3.7.1-1
libass 0.17.1-1
libassuan 2.5.6-1
